epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
225,467.1,0.00346,0.93103,1,0.33716,2.824e-05,2.824e-05,2.824e-05
226,469.065,0.0097,0.93103,1,0.35309,2.725e-05,2.725e-05,2.725e-05
227,471.076,0.00553,0.93103,1,0.33392,2.626e-05,2.626e-05,2.626e-05
228,473.502,0.00165,0.91379,1,0.33337,2.527e-05,2.527e-05,2.527e-05
229,475.471,0.00247,0.91379,1,0.3031,2.428e-05,2.428e-05,2.428e-05
230,477.497,0.01051,0.91379,1,0.31897,2.329e-05,2.329e-05,2.329e-05
231,479.516,0.01162,0.91379,1,0.3716,2.23e-05,2.23e-05,2.23e-05
232,481.472,0.00416,0.93103,1,0.30106,2.131e-05,2.131e-05,2.131e-05
233,483.511,0.00456,0.93103,1,0.34641,2.032e-05,2.032e-05,2.032e-05
234,485.56,0.00783,0.93103,1,0.3336,1.933e-05,1.933e-05,1.933e-05
235,487.568,0.01175,0.93103,1,0.32043,1.834e-05,1.834e-05,1.834e-05
236,489.566,0.008,0.93103,1,0.36096,1.735e-05,1.735e-05,1.735e-05
237,491.545,0.01362,0.93103,1,0.33691,1.636e-05,1.636e-05,1.636e-05
238,493.61,0.00934,0.93103,1,0.31567,1.537e-05,1.537e-05,1.537e-05
239,495.784,0.00497,0.93103,1,0.31714,1.438e-05,1.438e-05,1.438e-05
240,497.743,0.01247,0.93103,1,0.34204,1.339e-05,1.339e-05,1.339e-05
241,502.145,0.00547,0.91379,1,0.33704,1.24e-05,1.24e-05,1.24e-05
242,504.372,0.00458,0.93103,1,0.32336,1.141e-05,1.141e-05,1.141e-05
243,506.509,0.01601,0.93103,1,0.3158,1.042e-05,1.042e-05,1.042e-05
244,508.555,0.01102,0.93103,1,0.31238,9.43e-06,9.43e-06,9.43e-06
245,510.545,0.00798,0.93103,1,0.328,8.44e-06,8.44e-06,8.44e-06
246,512.917,0.00984,0.93103,1,0.28851,7.45e-06,7.45e-06,7.45e-06
247,514.865,0.01587,0.93103,1,0.2869,6.46e-06,6.46e-06,6.46e-06
248,516.822,0.00567,0.93103,1,0.34625,5.47e-06,5.47e-06,5.47e-06
249,518.87,0.0046,0.93103,1,0.31732,4.48e-06,4.48e-06,4.48e-06
250,520.893,0.01383,0.93103,1,0.29576,3.49e-06,3.49e-06,3.49e-06
